                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.99256,                0.97237,                 1.3224,                0.55029,                0.58444,                0.59088,                0.30425,                 1.8085,                 1.5469,                 1.8648,              0.0011224,              0.0011224,              0.0011224
                     36,                0.97819,                0.95641,                 1.3178,                0.64237,                0.54335,                0.59792,                0.31359,                 1.8261,                 1.5733,                 1.8691,              0.0011059,              0.0011059,              0.0011059
                     37,                 0.9938,                0.95651,                 1.3231,                0.58709,                0.59262,                0.61961,                0.32631,                 1.7685,                 1.5002,                 1.8233,              0.0010894,              0.0010894,              0.0010894
                     38,                0.99118,                0.96187,                 1.3145,                0.68615,                  0.595,                0.64386,                0.33271,                 1.7714,                 1.4709,                 1.8022,              0.0010729,              0.0010729,              0.0010729
                     39,                0.96681,                0.93741,                 1.3075,                0.66973,                0.60611,                0.62088,                0.33544,                 1.7357,                 1.5097,                   1.82,              0.0010564,              0.0010564,              0.0010564
                     40,                 0.9906,                0.94414,                 1.3114,                0.69571,                0.59941,                 0.6337,                0.32471,                 1.7835,                  1.481,                 1.8624,              0.0010399,              0.0010399,              0.0010399
                     41,                 0.9843,                0.93869,                  1.311,                0.60485,                0.57269,                0.59277,                0.31716,                  1.838,                 1.5263,                 1.8963,              0.0010234,              0.0010234,              0.0010234
                     42,                0.97607,                0.92317,                 1.2945,                0.64226,                  0.565,                0.59983,                0.32803,                 1.7755,                 1.5325,                 1.8324,              0.0010069,              0.0010069,              0.0010069
                     43,                 0.9685,                0.91551,                 1.2981,                0.65232,                0.57444,                0.62145,                  0.333,                 1.7624,                 1.4757,                  1.848,             0.00099036,             0.00099036,             0.00099036
                     44,                0.96752,                0.90375,                 1.2943,                0.68833,                0.62421,                0.66123,                 0.3474,                 1.7075,                 1.3758,                 1.7719,             0.00097386,             0.00097386,             0.00097386
                     45,                 0.9663,                 0.8946,                 1.2938,                0.63162,                0.61167,                0.63874,                0.32582,                 1.8108,                 1.4599,                 1.8595,             0.00095736,             0.00095736,             0.00095736
                     46,                0.95054,                0.90128,                 1.2892,                0.64732,                0.64389,                0.63758,                0.31812,                 1.8077,                 1.4373,                 1.8428,             0.00094085,             0.00094085,             0.00094085
                     47,                0.94963,                0.89084,                 1.2858,                0.56542,                0.63214,                0.63467,                0.33406,                 1.7948,                 1.4417,                 1.8456,             0.00092435,             0.00092435,             0.00092435
                     48,                0.94849,                0.88692,                  1.279,                0.61403,                0.60944,                  0.628,                0.33949,                 1.7368,                 1.3823,                 1.8015,             0.00090785,             0.00090785,             0.00090785
                     49,                0.93898,                0.87829,                 1.2817,                 0.6577,                0.61405,                0.65075,                0.33258,                 1.7775,                  1.456,                 1.8685,             0.00089134,             0.00089134,             0.00089134
                     50,                0.94708,                 0.8703,                  1.273,                0.67988,                0.62333,                0.66944,                0.33749,                 1.7829,                 1.4064,                 1.8534,             0.00087484,             0.00087484,             0.00087484
                     51,                0.93251,                0.85502,                 1.2734,                0.71424,                0.58056,                0.65925,                0.33543,                 1.7471,                 1.4466,                 1.8145,             0.00085834,             0.00085834,             0.00085834
                     52,                0.95118,                0.87782,                 1.2825,                0.67158,                0.64333,                0.66969,                0.34046,                 1.7617,                 1.3659,                  1.817,             0.00084184,             0.00084184,             0.00084184
                     53,                0.93579,                0.85322,                 1.2695,                0.67093,                 0.5749,                0.62083,                0.32047,                 1.8156,                 1.5089,                 1.8632,             0.00082533,             0.00082533,             0.00082533
                     54,                0.94028,                0.85125,                 1.2706,                0.59516,                 0.6385,                0.62739,                0.32601,                  1.811,                 1.3933,                  1.844,             0.00080883,             0.00080883,             0.00080883
                     55,                0.91645,                0.83865,                 1.2526,                0.62189,                0.56444,                0.58646,                0.30545,                 1.9097,                  1.483,                 1.9554,             0.00079233,             0.00079233,             0.00079233
                     56,                0.91229,                0.81876,                 1.2548,                  0.635,                0.63472,                0.64659,                0.34137,                 1.7695,                 1.3549,                 1.8315,             0.00077582,             0.00077582,             0.00077582
                     57,                0.92586,                0.82573,                 1.2516,                0.64609,                0.64751,                0.65693,                0.32801,                 1.8196,                 1.4081,                  1.866,             0.00075932,             0.00075932,             0.00075932
                     58,                0.90752,                0.81377,                  1.254,                0.67814,                 0.5973,                0.65394,                0.33996,                 1.8178,                 1.3798,                  1.818,             0.00074282,             0.00074282,             0.00074282
                     59,                0.92028,                0.82208,                 1.2526,                0.63569,                0.62833,                0.63786,                0.32988,                  1.749,                 1.4031,                 1.7875,             0.00072631,             0.00072631,             0.00072631
                     60,                0.89101,                0.79514,                 1.2435,                0.61052,                0.64833,                0.64531,                0.33039,                 1.8195,                 1.3901,                 1.8846,             0.00070981,             0.00070981,             0.00070981
                     61,                0.88594,                0.80111,                 1.2376,                0.68361,                0.62889,                0.66105,                0.34833,                 1.7849,                 1.3552,                 1.8383,             0.00069331,             0.00069331,             0.00069331
                     62,                0.89891,                0.80269,                 1.2458,                 0.6777,                0.56517,                0.61908,                0.33454,                 1.7816,                 1.4175,                 1.8069,              0.0006768,              0.0006768,              0.0006768
                     63,                0.89523,                0.79565,                 1.2429,                0.70367,                0.64258,                0.63624,                0.33299,                 1.7733,                 1.4261,                 1.8202,              0.0006603,              0.0006603,              0.0006603
                     64,                0.90293,                0.80158,                 1.2397,                0.64362,                0.60167,                0.65615,                0.34105,                 1.7692,                 1.3803,                  1.829,              0.0006438,              0.0006438,              0.0006438
                     65,                0.87691,                 0.7761,                 1.2298,                0.67321,                0.58333,                0.64839,                 0.3456,                  1.758,                 1.3839,                 1.8102,             0.00062729,             0.00062729,             0.00062729
                     66,                0.89477,                 0.7825,                 1.2355,                 0.7138,                0.62889,                 0.6612,                0.34089,                 1.8144,                 1.3316,                 1.8472,             0.00061079,             0.00061079,             0.00061079
                     67,                0.86992,                0.75904,                 1.2299,                0.73466,                0.64432,                 0.6639,                0.33984,                 1.7829,                 1.3705,                 1.8317,             0.00059429,             0.00059429,             0.00059429
                     68,                0.88021,                 0.7771,                 1.2322,                0.71588,                0.65665,                0.69404,                0.35102,                 1.8109,                 1.4022,                 1.8346,             0.00057778,             0.00057778,             0.00057778
                     69,                0.88176,                0.76927,                 1.2319,                0.68431,                0.63389,                0.66243,                0.34025,                  1.771,                 1.4129,                 1.8243,             0.00056128,             0.00056128,             0.00056128
                     70,                0.88374,                0.77264,                 1.2313,                0.67681,                0.60778,                0.63578,                0.33922,                 1.7993,                 1.4167,                 1.8301,             0.00054478,             0.00054478,             0.00054478
                     71,                0.87134,                0.74795,                 1.2158,                0.69158,                0.62944,                0.65011,                0.32503,                 1.8389,                 1.4171,                  1.883,             0.00052827,             0.00052827,             0.00052827
                     72,                0.85794,                0.73491,                 1.2132,                 0.6872,                0.60167,                0.62988,                0.32674,                 1.8456,                 1.4016,                 1.8913,             0.00051177,             0.00051177,             0.00051177
                     73,                0.86545,                0.73977,                 1.2124,                0.70804,                  0.595,                0.61451,                0.32482,                 1.8404,                 1.4082,                 1.8894,             0.00049527,             0.00049527,             0.00049527
                     74,                0.85514,                 0.7238,                 1.2144,                0.65815,                0.60617,                0.60893,                0.31263,                  1.851,                 1.4311,                 1.8734,             0.00047876,             0.00047876,             0.00047876
                     75,                0.86682,                0.74567,                 1.2128,                0.69476,                0.63379,                0.63472,                0.33203,                 1.8311,                 1.4431,                  1.832,             0.00046226,             0.00046226,             0.00046226
                     76,                0.84114,                0.71683,                 1.2059,                0.67423,                0.60884,                0.64672,                 0.3467,                 1.8066,                 1.3904,                  1.851,             0.00044576,             0.00044576,             0.00044576
                     77,                0.83538,                0.70573,                 1.1957,                0.72934,                0.60778,                0.65155,                0.33963,                 1.8295,                 1.3628,                 1.8556,             0.00042925,             0.00042925,             0.00042925
                     78,                0.85808,                0.73155,                 1.2118,                0.73057,                0.65575,                0.67637,                0.34402,                 1.8357,                 1.3082,                 1.8512,             0.00041275,             0.00041275,             0.00041275
                     79,                0.85623,                0.72236,                 1.2106,                0.65222,                  0.655,                0.65223,                0.34168,                 1.8443,                 1.3103,                 1.8695,             0.00039625,             0.00039625,             0.00039625
                     80,                0.84173,                0.70884,                 1.1979,                0.68797,                0.62611,                0.62697,                0.34143,                 1.8464,                 1.3722,                 1.8711,             0.00037974,             0.00037974,             0.00037974
                     81,                0.83221,                0.69563,                 1.1958,                0.71171,                0.63247,                0.64757,                0.33726,                 1.8715,                 1.3895,                 1.9197,             0.00036324,             0.00036324,             0.00036324
                     82,                0.82855,                0.69565,                 1.1913,                0.67597,                   0.67,                0.65507,                0.34411,                 1.8587,                 1.3214,                 1.9296,             0.00034674,             0.00034674,             0.00034674
                     83,                0.83217,                0.69585,                 1.1947,                0.66505,                0.62389,                0.64019,                 0.3418,                 1.8289,                 1.3493,                 1.8676,             0.00033023,             0.00033023,             0.00033023
                     84,                0.83458,                0.68815,                 1.1884,                0.65128,                0.60778,                0.62528,                0.34279,                 1.8326,                 1.3278,                 1.8743,             0.00031373,             0.00031373,             0.00031373
                     85,                0.82799,                0.69088,                  1.188,                0.70153,                0.62616,                0.65245,                0.34559,                 1.8591,                   1.34,                 1.9197,             0.00029723,             0.00029723,             0.00029723
                     86,                0.80553,                0.67229,                 1.1798,                0.73016,                0.65569,                0.67086,                0.34732,                 1.8862,                 1.3483,                 1.9286,             0.00028072,             0.00028072,             0.00028072
                     87,                0.81727,                0.68519,                 1.1793,                0.69766,                0.64404,                0.65102,                0.34568,                 1.8628,                 1.3308,                 1.9276,             0.00026422,             0.00026422,             0.00026422
                     88,                0.82189,                0.67689,                 1.1836,                0.65345,                 0.6574,                0.64659,                0.34562,                 1.8615,                 1.3063,                 1.9204,             0.00024772,             0.00024772,             0.00024772
